essround,cntry,codents,outcome,N
9,AT,B: Refusal by respondent,2,1336
9,AT,C: Refusal by proxy or before selection,2,863
9,AT,E: Noncontact or moved to unknown destination or still in country,2,144
9,AT,F: Language barrier,2,54
9,AT,G: Mentally / physically unable / ill / sick (short and long term),2,17
9,AT,I: Address not traceable,2,2
9,AT,J: Address not residential,3,8
9,AT,"K: Derelict or demolished house, not yet build or not occupied",3,27
9,AT,L: Other ineligible,3,6
9,AT,X: (partial) Interview,1,2499
9,BE,B: Refusal by respondent,2,741
9,BE,C: Refusal by proxy or before selection,2,66
9,BE,E: Noncontact or moved to unknown destination or still in country,2,189
9,BE,F: Language barrier,2,104
9,BE,G: Mentally / physically unable / ill / sick (short and long term),2,124
9,BE,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,54
9,BE,I: Address not traceable,2,14
9,BE,J: Address not residential,3,12
9,BE,"K: Derelict or demolished house, not yet build or not occupied",3,19
9,BE,L: Other ineligible,3,17
9,BE,M: R moved out of the country,3,50
9,BE,N: R deceased,3,9
9,BE,W: Invalid interview,2,38
9,BE,X: (partial) Interview,1,1767
9,BG,B: Refusal by respondent,2,146
9,BG,C: Refusal by proxy or before selection,2,183
9,BG,E: Noncontact or moved to unknown destination or still in country,2,586
9,BG,F: Language barrier,2,3
9,BG,G: Mentally / physically unable / ill / sick (short and long term),2,15
9,BG,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,29
9,BG,I: Address not traceable,2,7
9,BG,J: Address not residential,3,2
9,BG,"K: Derelict or demolished house, not yet build or not occupied",3,80
9,BG,L: Other ineligible,3,1
9,BG,M: R moved out of the country,3,49
9,BG,N: R deceased,3,16
9,BG,Undefined,2,12
9,BG,W: Invalid interview,2,3
9,BG,X: (partial) Interview,1,2198
9,CH,B: Refusal by respondent,2,614
9,CH,C: Refusal by proxy or before selection,2,153
9,CH,E: Noncontact or moved to unknown destination or still in country,2,376
9,CH,F: Language barrier,2,103
9,CH,G: Mentally / physically unable / ill / sick (short and long term),2,103
9,CH,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,80
9,CH,J: Address not residential,3,5
9,CH,M: R moved out of the country,3,22
9,CH,N: R deceased,3,14
9,CH,W: Invalid interview,2,3
9,CH,X: (partial) Interview,1,1542
9,CY,B: Refusal by respondent,2,189
9,CY,C: Refusal by proxy or before selection,2,93
9,CY,E: Noncontact or moved to unknown destination or still in country,2,140
9,CY,F: Language barrier,2,165
9,CY,G: Mentally / physically unable / ill / sick (short and long term),2,34
9,CY,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,13
9,CY,I: Address not traceable,2,43
9,CY,J: Address not residential,3,36
9,CY,"K: Derelict or demolished house, not yet build or not occupied",3,90
9,CY,L: Other ineligible,3,4
9,CY,M: R moved out of the country,3,3
9,CY,N: R deceased,3,1
9,CY,Undefined,1,4
9,CY,Undefined,2,7
9,CY,X: (partial) Interview,1,777
9,CZ,B: Refusal by respondent,2,212
9,CZ,C: Refusal by proxy or before selection,2,897
9,CZ,E: Noncontact or moved to unknown destination or still in country,2,42
9,CZ,G: Mentally / physically unable / ill / sick (short and long term),2,2
9,CZ,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,7
9,CZ,J: Address not residential,3,3
9,CZ,M: R moved out of the country,3,1
9,CZ,W: Invalid interview,2,2
9,CZ,X: (partial) Interview,1,2398
9,DE,-: Contact form missing,2,5
9,DE,B: Refusal by respondent,2,4027
9,DE,C: Refusal by proxy or before selection,2,275
9,DE,E: Noncontact or moved to unknown destination or still in country,2,1027
9,DE,F: Language barrier,2,213
9,DE,G: Mentally / physically unable / ill / sick (short and long term),2,334
9,DE,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,282
9,DE,J: Address not residential,3,44
9,DE,"K: Derelict or demolished house, not yet build or not occupied",3,19
9,DE,M: R moved out of the country,3,34
9,DE,N: R deceased,3,46
9,DE,Undefined,1,2
9,DE,W: Invalid interview,2,21
9,DE,X: (partial) Interview,1,2356
9,DE,X: (partial) Interview,2,10
9,EE,-: Contact form missing,2,13
9,EE,B: Refusal by respondent,2,621
9,EE,C: Refusal by proxy or before selection,2,25
9,EE,D: Refusal because of drop out list,2,150
9,EE,E: Noncontact or moved to unknown destination or still in country,2,213
9,EE,F: Language barrier,2,11
9,EE,G: Mentally / physically unable / ill / sick (short and long term),2,32
9,EE,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,52
9,EE,L: Other ineligible,3,3
9,EE,M: R moved out of the country,3,6
9,EE,N: R deceased,3,34
9,EE,Undefined,2,29
9,EE,W: Invalid interview,2,7
9,EE,X: (partial) Interview,1,1904
9,ES,B: Refusal by respondent,2,465
9,ES,C: Refusal by proxy or before selection,2,155
9,ES,E: Noncontact or moved to unknown destination or still in country,2,579
9,ES,F: Language barrier,2,30
9,ES,G: Mentally / physically unable / ill / sick (short and long term),2,73
9,ES,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,93
9,ES,I: Address not traceable,2,35
9,ES,J: Address not residential,3,13
9,ES,"K: Derelict or demolished house, not yet build or not occupied",3,32
9,ES,L: Other ineligible,3,6
9,ES,M: R moved out of the country,3,57
9,ES,N: R deceased,3,42
9,ES,X: (partial) Interview,1,1668
9,FI,B: Refusal by respondent,2,634
9,FI,C: Refusal by proxy or before selection,2,36
9,FI,E: Noncontact or moved to unknown destination or still in country,2,476
9,FI,F: Language barrier,2,36
9,FI,G: Mentally / physically unable / ill / sick (short and long term),2,51
9,FI,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,386
9,FI,I: Address not traceable,2,1
9,FI,M: R moved out of the country,3,10
9,FI,N: R deceased,3,2
9,FI,Undefined,2,13
9,FI,X: (partial) Interview,1,1755
9,FR,-: Contact form missing,2,11
9,FR,B: Refusal by respondent,2,173
9,FR,C: Refusal by proxy or before selection,2,769
9,FR,D: Refusal because of drop out list,2,1
9,FR,E: Noncontact or moved to unknown destination or still in country,2,645
9,FR,F: Language barrier,2,71
9,FR,G: Mentally / physically unable / ill / sick (short and long term),2,272
9,FR,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,118
9,FR,I: Address not traceable,2,109
9,FR,J: Address not residential,3,23
9,FR,"K: Derelict or demolished house, not yet build or not occupied",3,198
9,FR,X: (partial) Interview,1,2010
9,GB,-: Contact form missing,1,3
9,GB,-: Contact form missing,2,33
9,GB,B: Refusal by respondent,2,1133
9,GB,C: Refusal by proxy or before selection,2,836
9,GB,E: Noncontact or moved to unknown destination or still in country,2,700
9,GB,F: Language barrier,2,68
9,GB,G: Mentally / physically unable / ill / sick (short and long term),2,148
9,GB,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,242
9,GB,I: Address not traceable,2,5
9,GB,J: Address not residential,3,65
9,GB,"K: Derelict or demolished house, not yet build or not occupied",3,347
9,GB,L: Other ineligible,3,54
9,GB,Undefined,2,15
9,GB,X: (partial) Interview,1,2201
9,HR,B: Refusal by respondent,2,27
9,HR,C: Refusal by proxy or before selection,2,1771
9,HR,E: Noncontact or moved to unknown destination or still in country,2,219
9,HR,G: Mentally / physically unable / ill / sick (short and long term),2,24
9,HR,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,26
9,HR,I: Address not traceable,2,305
9,HR,J: Address not residential,3,40
