"type","varname","R01","R02","R03","R04","R05","R06","R07","R08","R09","is.available","values"
"Continuous","hhmmb",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"1,2,3,4,5,6,7,8,9,12"
"Continuous","yrbrn",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"1928,1940,1949,1951,1953,1956,1958,1959,1962,1969"
"Continuous","eduyrs",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"8,9,10,11,12,14,15,16,17,18"
"Continuous","pdjobyr",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"1953,1954,1977,1980,1988,1993,1995,1998,2000"
"Continuous","emplno",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"0,1,3,6,8,9,12,13,18"
"Continuous","njbspv",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"1,2,3,4,5,6,8,12,13"
"Continuous","wkhct",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"8,15,20,30,38,39,40,50,60"
"Continuous","wkhtot",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"15,20,30,38,40,42,45,50,55,60"
"Continuous","wkhtotp",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"9,20,38,39,40,44,45,60,80"
"Likert","ppltrst",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"0,1,2,3,4,5,6,7,8,9"
"Likert","pplfair",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"0,1,3,4,5,6,7,8,9,10"
"Likert","pplhlp",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"0,1,2,3,4,5,6,7,8,9"
"Likert","polintr",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"1,2,3,4"
"Likert","trstprl",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"0,2,3,4,5,6,8,9,10"
"Likert","trstlgl",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"0,2,3,4,5,6,7,8,9,10"
"Likert","trstplc",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"0,2,3,4,5,6,7,8,9,10"
"Likert","trstplt",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"0,1,2,3,4,5,6,7,8,10"
"Likert","trstprt",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,8,9"
"Likert","trstep",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"0,2,3,4,5,6,7,8,10"
"Likert","trstun",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"0,2,3,5,6,7,8,9,10"
"Likert","lrscale",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"0,2,3,4,5,6,7,8,9"
"Likert","stflife",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"0,2,3,4,5,6,7,8,9,10"
